treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08	date09	date10	date11	date12	date13
tuteur	14	4	0	0	0	0	0	0	0	0	0	1	1	1	1
tuteur	14	5	0	0	0	0	0	0	1	0	1	1	1	0	1
tuteur	14	6	0	0	0	1	1	0	0	0	1	1	1	1	1
tuteur	14	7	0	0	0	0	0	0	0	0	0	1	1	1	1
tuteur	14	8	0	0	0	0	0	0	1	0	1	0	0	1	1
tuteur	14	9	0	0	0	0	1	1	1	1	1	2	1	2	2
tuteur	14	10	0	0	0	0	1	0	0	0	1	1	1	1	1
tuteur	14	11	0	0	0	0	1	0	1	0	0	1	1	1	1
tuteur	14	12	0	0	0	0	0	0	0	0	1	1	1	1	1
tuteur	14	13	0	0	0	0	0	0	0	0	0	1	1	1	1
tuteur	14	14	0	0	0	0	0	0	1	0	1	1	1	NA	NA
tuteur	15	1	0	1	1	1	0	0	0	0	NA	NA	NA	NA	NA
tuteur	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0
tuteur	15	3	1	1	1	1	0	0	0	0	0	0	0	1	0
tuteur	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0
tuteur	15	5	0	0	0	0	0	0	0	0	0	0	1	0	0
tuteur	15	6	0	0	0	0	0	0	0	0	0	0	0	1	0
tuteur	15	7	0	1	1	1	2	1	1	1	1	1	2	2	2
tuteur	15	8	0	0	0	1	1	0	1	0	1	0	1	1	1
tuteur	15	9	0	1	0	0	0	0	1	0	1	1	1	1	1
tuteur	15	10	0	0	0	0	0	0	0	0	0	0	1	1	1
tuteur	15	11	0	0	0	0	0	0	0	0	1	1	1	1	1
tuteur	15	12	0	0	0	1	1	1	1	0	1	1	1	1	1
tuteur	15	13	0	0	0	0	1	1	0	0	1	1	1	1	1
tuteur	15	14	0	0	0	0	0	0	1	0	1	1	0	1	1
