treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08	date09	date10	date11	date12	date13
plat	6	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	6	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	7	1	0	0	0	0	2	2	1	1	1	1	1	NA	1
plat	7	2	0	0	0	0	1	0	1	0	1	1	1	NA	1
plat	7	3	0	0	0	1	0	0	0	1	1	1	1	NA	1
plat	7	4	0	0	0	0	1	1	0	1	1	0	1	NA	1
plat	7	5	0	0	0	0	1	1	1	1	1	0	1	NA	2
plat	7	6	1	1	1	1	2	3	2	1	2	3	2	NA	2
plat	7	7	1	1	1	2	2	2	2	1	1	2	3	NA	2
plat	7	8	0	0	0	0	1	1	1	0	2	2	2	NA	3
plat	7	9	0	0	0	2	1	0	1	1	1	1	1	NA	1
plat	7	10	0	0	0	0	0	1	0	NA	1	1	1	NA	1
plat	7	11	0	0	0	0	0	NA	NA	NA	NA	NA	1	NA	NA
plat	7	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	7	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	8	1	0	0	0	0	0	1	0	0	0	0	1	NA	1
plat	8	2	1	0	0	0	1	1	1	0	1	1	1	NA	1
plat	8	3	0	0	0	0	1	1	1	1	2	1	2	NA	2
plat	8	4	0	0	0	1	2	2	2	2	3	4	2	NA	2
plat	8	5	0	0	0	1	1	1	1	1	3	4	3	NA	3
plat	8	6	1	1	1	2	2	2	1	1	3	1	2	NA	2
plat	8	7	1	1	1	3	4	3	2	0	2	1	1	NA	1
plat	8	8	0	0	0	1	2	2	2	1	2	2	2	NA	2
plat	8	9	1	2	1	3	4	4	5	3	6	7	6	NA	NA
plat	8	10	0	0	0	0	1	1	1	0	0	0	1	NA	2
plat	8	11	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA
plat	8	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	8	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	9	1	0	0	0	0	1	0	0	1	0	1	1	NA	1
plat	9	2	0	0	0	0	0	1	1	1	1	1	1	NA	1
plat	9	3	0	0	0	0	1	1	1	1	1	2	2	NA	1
plat	9	4	0	0	0	0	1	1	2	1	2	1	1	NA	2
plat	9	5	0	1	1	1	2	2	2	1	2	3	2	NA	3
plat	9	6	0	0	0	1	1	1	1	1	1	2	2	NA	2
plat	9	7	0	0	1	0	1	1	1	0	1	2	2	NA	3
plat	9	8	0	0	0	0	1	1	1	1	1	1	2	NA	3
plat	9	9	0	0	0	1	2	3	2	3	NA	NA	NA	NA	NA
plat	9	10	0	0	0	0	1	1	0	0	0	0	1	NA	2
plat	9	11	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA
plat	9	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	9	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	10	1	0	1	1	3	4	3	4	2	5	5	5	NA	5
plat	10	2	0	0	0	1	1	1	1	2	2	1	1	NA	1
plat	10	3	0	0	0	0	0	1	1	0	1	1	1	NA	1
plat	10	4	0	0	0	1	1	1	1	1	2	1	2	NA	2
plat	10	5	0	0	1	1	3	3	3	1	2	2	2	NA	3
plat	10	6	0	0	0	1	1	1	1	2	1	1	2	NA	2
plat	10	7	0	0	0	1	0	1	1	1	1	1	1	NA	1
plat	10	8	0	0	0	1	1	1	1	1	1	1	2	NA	2
plat	10	9	0	0	0	1	2	2	1	4	1	0	4	NA	4
plat	10	10	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
plat	10	11	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	NA
plat	10	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	10	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	11	1	0	0	0	0	1	1	1	1	2	1	3	NA	1
plat	11	2	0	0	0	1	0	1	1	1	1	1	1	NA	2
plat	11	3	0	0	1	1	3	2	2	1	2	1	1	NA	1
plat	11	4	0	0	0	0	0	0	1	2	1	1	2	NA	1
plat	11	5	0	0	0	0	1	1	1	1	1	1	2	NA	2
plat	11	6	0	0	0	1	2	2	2	1	3	2	3	NA	2
plat	11	7	0	0	0	0	1	1	1	1	1	1	2	NA	2
plat	11	8	0	0	0	2	3	3	4	3	6	6	6	NA	3
plat	11	9	0	0	0	0	0	0	0	0	1	0	2	NA	2
plat	11	10	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
plat	11	11	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
plat	11	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	11	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	12	1	0	0	0	0	1	1	1	1	1	0	1	NA	1
plat	12	2	0	0	0	1	1	1	1	1	1	1	1	NA	1
plat	12	3	0	0	0	0	0	0	0	1	0	1	1	NA	1
plat	12	4	0	0	0	1	1	0	1	1	1	1	1	NA	1
plat	12	5	0	0	0	0	0	0	1	0	1	1	1	NA	1
plat	12	6	0	0	0	0	0	0	1	0	1	1	1	NA	1
plat	12	7	0	0	1	1	1	1	1	1	1	1	1	NA	2
plat	12	8	0	1	0	0	1	1	1	1	1	1	2	NA	2
plat	12	9	0	0	0	1	0	0	1	1	1	1	1	NA	2
plat	12	10	0	1	0	0	0	1	1	NA	1	1	1	NA	1
plat	12	11	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
plat	12	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	12	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	13	1	0	0	0	0	0	1	1	1	1	1	1	NA	1
plat	13	2	0	0	0	0	1	0	0	0	0	0	1	NA	1
plat	13	3	0	0	0	0	0	0	1	0	1	0	1	NA	1
plat	13	4	0	0	0	0	0	0	0	0	1	0	1	NA	1
plat	13	5	0	0	0	0	0	1	0	1	1	0	1	NA	1
plat	13	6	0	0	0	0	1	1	0	1	2	1	3	NA	1
plat	13	7	0	0	0	0	0	0	0	1	1	1	1	NA	1
plat	13	8	0	0	0	0	0	1	1	1	1	1	2	NA	2
plat	13	9	0	0	0	0	0	0	0	0	1	0	1	NA	1
plat	13	10	0	0	0	0	0	0	1	1	1	1	2	NA	2
plat	13	11	0	0	0	0	0	1	1	NA	0	0	1	NA	2
plat	13	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	13	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	14	1	0	0	0	0	0	0	0	1	0	0	0	NA	1
plat	14	2	0	0	0	0	0	1	0	0	0	0	1	NA	1
plat	14	3	0	0	0	1	0	1	0	1	1	1	1	NA	1
plat	14	4	0	0	0	1	0	1	1	0	1	0	1	NA	1
plat	14	5	0	0	0	1	1	1	1	1	1	1	1	NA	1
plat	14	6	0	0	0	0	0	0	1	0	1	1	1	NA	1
plat	14	7	0	0	0	1	0	1	0	0	0	0	1	NA	1
plat	14	8	0	0	0	1	1	1	0	0	1	1	1	NA	2
plat	14	9	1	1	1	2	3	5	NA	NA	NA	NA	NA	NA	NA
plat	14	10	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
plat	14	11	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
plat	14	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	14	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	15	1	0	0	0	1	0	1	1	0	1	1	1	NA	1
plat	15	2	0	0	0	0	0	1	0	0	1	1	1	NA	1
plat	15	3	0	0	0	0	0	1	0	0	1	1	1	NA	1
plat	15	4	0	0	0	0	0	1	1	1	1	1	1	NA	1
plat	15	5	0	0	0	0	0	0	1	0	1	1	1	NA	1
plat	15	6	0	0	0	0	0	1	1	0	1	1	1	NA	1
plat	15	7	0	0	0	0	0	1	0	0	1	1	2	NA	2
plat	15	8	0	0	1	1	1	1	2	3	3	3	4	NA	5
plat	15	9	0	0	0	0	0	1	0	1	0	0	1	NA	1
plat	15	10	0	0	0	0	1	1	1	0	1	0	1	NA	2
plat	15	11	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA
plat	15	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	15	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tuteur	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
