"ISO_A3","Country","AUC_confirmed","AUC_deaths","AUC_recovered","AUC_confirmed_pmillion","AUC_deaths_pmillion","AUC_recovered_pmillion","date_first_cases","days_since_first_cases","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split"
"PRY","Paraguay",5459,225,225,765.366566982543,31.5456086409731,31.5456086409731,"2020-03-08",53,5095.655,-45,5,32,96.03,24.6939068100358,8,57.9731969064656,7
"PSE","West Bank and Gaza",9780,56,56,1917.11477754412,10.977344329496,10.977344329496,"2020-03-05",56,5192.735,-12,0,54,97.35,"NA","NA","NA","NA"
"PYF","French Polynesia",1852,0,0,6592.99974368468,0,0,"2020-03-13",48,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"QAT","Qatar",160423.5,215,215,55682.1100567152,74.6253115172888,74.6253115172888,"2020-02-29",61,4802.17,-36,17,28,91.54,19.6781362007168,16,45.7867079376781,16.5
"REU","Reunion",12904,0,0,14412.917119025,0,0,"2020-03-11",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ROU","Romania",231585,11585.5,11585.5,12038.0927390317,602.229520167762,602.229520167762,"2020-02-26",64,4674.87,-30,14,34,88.36,17.4304347826087,18,55.9319755385594,18
"RUS","Russian Federation",1088472,9640.5,9640.5,7458.63588353292,66.060476737297,66.060476737297,"2020-01-31",90,4216.09,-1,48,59,92.86,"NA","NA","NA","NA"
"RWA","Rwanda",4722.5,0,0,364.609619872564,0,0,"2020-03-14",47,5341.44,-53,2,7,100,27.2416666666667,7,57.4221263571264,7
"SAU","Saudi Arabia",262985.5,2445,2445,7554.04448463022,70.2306353959473,70.2306353959473,"2020-03-02",59,4766.785,-32,13,55,94.18,21.3410852713178,16,55.6398757707634,16
"SDN","Sudan",2841,287.5,287.5,64.7901336736081,6.55655171811416,6.55655171811416,"2020-03-13",48,4031.955,-45,3,31,84.26,"NA","NA","NA","NA"
"SEN","Senegal",13002.5,113.5,113.5,776.550069189253,6.77857587794502,6.77857587794502,"2020-03-02",59,2967.185,12,18,21,66.67,15.1254331254331,20,35.3099670442353,18.5
"SGP","Singapore",193988.5,299.5,299.5,33158.4831863704,51.1935795901198,51.1935795901198,"2020-01-23",98,4532.685,-21,71,82,87.83,29.5833333333333,74,49.3707704928378,74
"SLE","Sierra Leone",1047,24.5,24.5,131.252597315903,3.07133584932152,3.07133584932152,"2020-03-31",30,2876.23,-15,0,5,90.08,"NA","NA","NA","NA"
"SLV","El Salvador",5291.5,177,177,815.808822452465,27.2887010439547,27.2887010439547,"2020-03-19",42,5193.585,-56,-3,33,96.03,29.2487667371388,-1,67.6063269296443,-0.5
"SMR","San Marino",15233.5,1391.5,1391.5,448862.631858094,41001.237550828,41001.237550828,"2020-02-27",63,4940.08,-4,10,50,92.06,"NA","NA","NA","NA"
"SOM","Somalia",5042.5,232,232,317.273675018258,14.5974204470473,14.5974204470473,"2020-03-16",45,2412.425,-2,5,26,59.39,"NA","NA","NA","NA"
"SPM","Saint Pierre and Miquelon",25.5,0,0,4400.34512510785,0,0,"2020-04-05",25,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SRB","Serbia",151355.5,3040.5,3040.5,17322.7756178347,347.988010122039,347.988010122039,"2020-03-06",55,4863.57,-44,9,15,100,19.9928315412186,10,62.0545291625937,10.5
"SSD","South Sudan",173.5,0,0,15.4997499046118,0,0,"2020-04-05",25,3653.745,-41,-16,7,90.74,"NA","NA","NA","NA"
"STP","Sao Tome and Principe",111,0,0,506.476973549126,0,0,"2020-04-06",24,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SUR","Suriname",383,27.5,27.5,652.877262483934,46.8776102305697,46.8776102305697,"2020-03-14",47,3389.185,-1,2,23,83.07,"NA","NA","NA","NA"
"SVK","Slovak Republic",31005,252.5,252.5,5678.94274405854,46.2484451822216,46.2484451822216,"2020-03-06",55,4345.85,-39,6,33,90.74,15.572940287226,6,43.1599159627983,6
"SVN","Slovenia",44499.5,1783.5,1783.5,21404.9810191002,857.892417837621,857.892417837621,"2020-03-05",56,4169.01,-1,11,25,91.93,19.6927536231884,10,55.6444224259752,8
"SWE","Sweden",411538,38992,38992,40749.2818787893,3860.87311261111,3860.87311261111,"2020-01-31",90,1929.375,38,"NA",84,47.35,8.1536231884058,44,29.359469239739,44
"SWZ","Eswatini",868,14.5,14.5,748.170086298144,12.4982330084367,12.4982330084367,"2020-03-14",47,3463.46,-14,13,13,81.48,"NA","NA","NA","NA"
"SXM","Sint Maarten (Dutch part)",1611.5,251.5,251.5,37579.8703418684,5864.93167296301,5864.93167296301,"2020-03-20",41,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SYC","Seychelles",430.5,0,0,4377.66931055522,0,0,"2020-03-14",47,4198.845,-73,16,26,94.58,"NA","NA","NA","NA"
"SYR","Syrian Arab Republic",951.5,75.5,75.5,54.3693873892849,4.31412374975408,4.31412374975408,"2020-03-22",39,3835.625,-50,-2,10,84.13,"NA","NA","NA","NA"
"TCA","Turks and Caicos Islands",294,25.5,25.5,7593.36742600341,658.608399194173,658.608399194173,"2020-03-28",33,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"TCD","Chad",795.5,6.5,6.5,48.4297350902622,0.395717508594223,0.395717508594223,"2020-03-19",42,2447.115,-12,25,25,88.23,"NA","NA","NA","NA"
"TGO","Togo",2533,133.5,133.5,305.964545074931,16.1256481514028,16.1256481514028,"2020-03-06",55,"NA","NA","NA","NA","NA",15.5611111111111,15,26.0910776160776,15
"THA","Thailand",90179,1227,1227,1291.96315792535,17.5788021022012,17.5788021022012,"2020-01-14",107,3491.04,52,67,85,83.21,13.4407484407484,68,35.5191506274433,67
"TLS","Timor-Leste",363,0,0,275.324966892742,0,0,"2020-03-22",39,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"TTO","Trinidad and Tobago",4014,241,241,2868.18564749613,172.205466130186,172.205466130186,"2020-03-14",47,4081.67,-44,3,45,93.38,20.5965909090909,3,62.7013138024766,3.5
"TUN","Tunisia",25035,983.5,983.5,2118.26797346356,83.2161594528227,83.2161594528227,"2020-03-04",57,4265.445,0,14,17,90.61,"NA","NA","NA","NA"
"TUR","Turkey",2096881,48981,48981,24862.5112250767,580.762886551733,580.762886551733,"2020-03-11",50,4301.47,-47,5,17,80.42,21.7755681818182,6,59.1232221407625,6
"TWN","Taiwan",16218,231,231,680.948617098663,9.69904615549334,9.69904615549334,"2020-01-21",100,2888.56,-19,"NA",58,32.01,0,"NA",2.77045430179577,53.5
"TZA","Tanzania",4498,164,164,75.3002303721654,2.74549528257784,2.74549528257784,"2020-03-16",45,1983.96,-2,27,27,50.4,8.24679487179487,21,18.6378962175391,22.5
"UGA","Uganda",1966.5,0,0,42.9920640125926,0,0,"2020-03-21",40,4399.675,-61,4,9,92.59,27.925,4,57.0270676133029,4
"UKR","Ukraine",135282,3581.5,3581.5,3093.30830674765,81.8932577919954,81.8932577919954,"2020-03-03",58,4460.42,0,9,15,92.06,"NA","NA","NA","NA"
"URY","Uruguay",17845.5,275.5,275.5,5137.27762717105,79.3096291101747,79.3096291101747,"2020-03-13",48,3359.07,0,1,20,76.98,17.9376375641966,1,50.6159917636423,0.5
"USA","United States",20071498.5,1009359,1009359,60921.2521452461,3063.61850083458,3063.61850083458,"2020-01-22",99,3581.905,11,54,77,71.58,17.1663082437276,54,40.1780958404867,54
"UZB","Uzbekistan",35095.5,148.5,148.5,1048.59097464508,4.43691526648128,4.43691526648128,"2020-03-15",46,4626.85,-54,1,44,94.58,"NA","NA","NA","NA"
"VAT","Vatican",299.5,0,0,370210.135970334,0,0,"2020-03-06",55,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"VCT","St. Vincent and the Grenadines",339,0,0,3055.5129926902,0,0,"2020-03-14",47,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"VEN","Venezuela, RB",7974.5,269,269,280.437332428188,9.4598586021923,9.4598586021923,"2020-03-14",47,4167.14,-15,-1,4,84.26,19.9739130434783,1,59.2492286115007,1
"VGB","British Virgin Islands",127,11.5,11.5,4200.15213149453,380.328736316434,380.328736316434,"2020-03-28",33,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"VNM","Vietnam",10573,0,0,108.620853870453,0,0,"2020-01-23",98,5467.84,2,62,69,97.35,9.67456445993031,63,29.3804702694086,63
"XKX","Kosovo",13230,324,324,7307.91453219957,178.969335482438,178.969335482438,"2020-03-26",35,4571.755,-18,-13,-2,94.71,"NA","NA","NA","NA"
"YEM","Yemen, Rep.",28,1,1,0.938779254373236,0.03352783051333,0.03352783051333,"2020-04-10",20,"NA","NA","NA","NA","NA",3.18606271777004,-21,12.1268767969139,-20
"ZAF","South Africa",95393.5,1323.5,1323.5,1608.42365596003,22.3154482083486,22.3154482083486,"2020-03-05",56,4067.37,-42,13,21,91.4,31.2926829268293,21,64.9181881533101,21
"ZMB","Zambia",1895,60.5,60.5,103.079010850548,3.29091301132357,3.29091301132357,"2020-03-18",43,2602.155,-26,22,28,62.45,9.4404181184669,8,15.6518181885415,8
"ZWE","Zimbabwe",651,93,93,43.8002554947622,6.25717935639461,6.25717935639461,"2020-03-20",41,3950.915,-53,3,10,91.4,35.7471590909091,9,62.9568181818182,9
