"ISO_A3","Country","AUC_confirmed","AUC_deaths","AUC_recovered","AUC_confirmed_pmillion","AUC_deaths_pmillion","AUC_recovered_pmillion","date_first_cases","days_since_first_cases","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split"
"CHE","Switzerland",908202,37766.5,37766.5,104938.427091756,4363.73968209804,4363.73968209804,"2020-02-25",65,4104.47,0,21,21,79.49,17.6043010752688,20,39.1112053902804,20
"CHI","Channel Islands",13310.5,544,544,78067.9065566367,3190.63454917624,3190.63454917624,"2020-03-10",51,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHL","Chile",274165.5,3210.5,3210.5,14342.0434459573,167.946479346402,167.946479346402,"2020-03-03",58,3357.79,11,15,22,83.6,22.0454545454545,14,57.7223420343722,14
"CHN","China",6644686,261757,261757,4730.40362259112,186.346843332941,186.346843332941,"2019-12-10",142,6707.875,26,47,77,75.42,"NA","NA","NA","NA"
"CIV","Cote d'Ivoire",21347.5,222,222,809.283397037903,8.41601658940928,8.41601658940928,"2020-03-11",50,3672.915,1,8,13,86.11,15.4861111111111,10,28.6929783713802,9.5
"CMR","Cameroon",30648,818.5,818.5,1154.5301369735,30.8334285145136,30.8334285145136,"2020-03-06",55,3058.77,7,12,43,76.32,10.1946778711485,13,21.3483883193869,12.5
"COD","Congo, Dem. Rep.",8995,684.5,684.5,100.433887793898,7.64280113339894,7.64280113339894,"2020-03-11",50,3545.43,-20,8,17,85.85,"NA","NA","NA","NA"
"COG","Congo, Rep.",3406,152.5,152.5,617.242336662745,27.6363641635551,27.6363641635551,"2020-03-15",46,3513.04,-12,13,16,98.02,"NA","NA","NA","NA"
"COL","Colombia",104400.5,4157.5,4157.5,2051.78031968471,81.7072397075606,81.7072397075606,"2020-03-06",55,4463.1,-45,11,52,93.38,31.0238095238095,13,76.2047619047619,13
"CPV","Cabo Verde",1411.5,37.5,37.5,2538.72385734944,67.447498866882,67.447498866882,"2020-03-20",41,3736.695,-44,3,12,79.63,25.0146198830409,4,56.6655287309618,0.5
