Pays,temp_dec19,temp_jan20,temp_fev20,temp_mar20,temp_mean
Guadeloupe,26.290002441406273,25.640008544921898,25.420007324218773,25.309991455078148,25.665002441406273
Guyane,26.170007324218773,25.860009765625023,25.589990234375023,26.260003662109398,25.970002746582054
Martinique,27.550012207031273,26.899987792968773,26.659997558593773,26.529992675781273,26.909997558593773
Mayotte,29.659997558593773,27.670007324218773,28.469995117187523,28.219995117187523,28.504998779296898
Reunion,21.999993896484398,22.320001220703148,22.080010986328148,21.700006103515648,22.025003051757835
