ISO_A3,ISO_A2,Country,Lat,Long,date,confirmed,deaths,recovered
FRA,FR,France,46.2276,2.2137,2020-04-14,129257,15712,28512
FRA,FR,France,46.2276,2.2137,2020-04-15,132473,17148,30440
FRA,FR,France,46.2276,2.2137,2020-04-16,144944,17901,32297
FRA,FR,France,46.2276,2.2137,2020-04-17,146923,18661,33834
FRA,FR,France,46.2276,2.2137,2020-04-18,146906,19303,35379
FRA,FR,France,46.2276,2.2137,2020-04-19,151808,19694,35973
FRA,FR,France,46.2276,2.2137,2020-04-20,154188,20240,36782
FRA,FR,France,46.2276,2.2137,2020-04-21,156921,20765,38543
FRA,FR,France,46.2276,2.2137,2020-04-22,154715,21309,39988
FRA,FR,France,46.2276,2.2137,2020-04-23,157026,21825,41414
FRA,FR,France,46.2276,2.2137,2020-04-24,158636,22214,42715
FRA,FR,France,46.2276,2.2137,2020-04-25,160292,22583,43816
FRA,FR,France,46.2276,2.2137,2020-04-26,160847,22825,44125
FRA,FR,France,46.2276,2.2137,2020-04-27,164589,23262,44733
FRA,FR,France,46.2276,2.2137,2020-04-28,167605,23629,45997
FRA,FR,France,46.2276,2.2137,2020-04-29,165093,24056,47338
FRA,FR,France,46.2276,2.2137,2020-04-30,165764,24345,48572
