Country.Region,b,Asym,xmid,P(b),P(Asym),Pxmid,dev,converged,iter
Kosovo,0.025085810671926,11413.4097303935,18415.5413811401,5.73435286301044E-05,0.273902609367088,1.2240300734443E-169,19927.8885448779,1,23
Kuwait,0.012503044477823,878674.857532566,18515.7450473,0.000584354675694,0.609463560515494,3.41119154354929E-129,151475.612187189,0,50
Kyrgyzstan,0.060411017354789,1247.00456470004,18367.5667691246,9.61174021151286E-29,2.28220162598902E-19,2.36396093027349E-272,6098.01763652969,1,15
Laos,0.114835331261161,22.1123402286516,18351.6469953691,3.68741398605594E-25,8.01446745966231E-47,8.305095e-318,41.6417571673821,1,15
Latvia,0.101043360644264,782.894728768115,18348.0352454124,5.52944331038969E-77,3.52846508464321E-104,0,2917.53781850498,1,11
Lebanon,0.089551424092873,737.676825982066,18343.8615848773,7.03298174537069E-55,6.21759722106766E-83,0,10810.7855748781,1,16
Liberia,0.108272254317423,139.521934509923,18364.7048493719,2.23407330930764E-15,2.44775315584977E-14,4.04044112547009E-281,459.857049191166,1,21
Libya,0.042958244848589,250.321805824466,18381.1146435158,3.51258399511806E-06,0.030154596975341,8.12080791859928E-205,321.535722333621,1,18
Liechtenstein,0.16961381157774,80.4231096009085,18341.1684385542,2.05567536519968E-40,3.81243503218654E-92,0,474.049916971649,1,11
Lithuania,0.101394694017734,1391.06695019314,18351.3185819132,4.53283628357774E-58,5.38612849824586E-80,0,19489.5523909376,1,13
Luxembourg,0.126447604593121,3668.34641116576,18346.5589096581,1.19579797042297E-83,7.11631942229401E-121,0,59867.9287914767,1,12
Madagascar,0.120429463526422,131.073502588269,18351.7821477219,5.70182925173009E-53,1.57450790213546E-79,0,261.162155847836,1,15
Malawi,0.173587609247793,20.4420110663267,18359.4578359146,2.63717121549113E-26,1.22726010437598E-45,0,18.1742654198828,1,32
Malaysia,0.069202900222779,6904.74604780257,18350.4295796775,3.10612292257401E-79,1.23986487738516E-91,0,109741.184649886,1,17
Maldives,0.032318152409428,55.5304088114518,18357.1492262672,0.000901470186045,0.006895116391852,2.46900617689468E-193,1012.68675439111,1,19
Mali,0.024115859039164,12897.0541190218,18428.9337789904,6.14087025097479E-08,0.22501830606527,2.56613273115943E-177,1032.79272771833,1,31
Malta,0.053091414969003,754.68250709818,18358.5778965421,7.48813830334316E-28,1.43429141191671E-25,4.4678279668073E-273,8795.91567201969,1,11
Mauritania,0.122883704245832,7.55672476823457,18344.590280853,1.21485491510811E-24,2.89003609243437E-58,2e-323,9.26840685908909,1,12
Mauritius,0.130947967650174,371.608770359851,18351.2119025731,7.91611994705965E-40,3.94741687413844E-69,0,5189.14256057407,1,16
Mexico,0.033686555603385,66085.8404899741,18394.1945835725,7.74018598970032E-51,9.79552510444711E-19,5.65666635993751E-262,92344.0121300558,1,17
Moldova,0.069672478089544,4853.49941887461,18365.083354333,1.41831939584869E-49,7.22406357706657E-42,4.09206310401078E-305,39442.5850054606,1,19
Monaco,0.108169400352411,106.894311162649,18348.3292079505,2.84196273522375E-50,1.68277579576059E-78,0,250.556383419514,1,14
Mongolia,0.018082449573182,369.459460361491,18421.0048957462,0.010317140679832,0.421581187260427,2.99423979800857E-142,366.918702468315,1,29
Montenegro,0.121255288375645,344.622680150449,18351.8957189928,1.27786266077224E-41,2.1748886002067E-67,0,3498.71626898384,1,15
Morocco,0.034147526787136,16261.1374856445,18387.6255714086,2.11699471202094E-22,8.74877563444438E-07,6.34163252112162E-231,120190.629342744,1,18
Mozambique,0.019599808088402,1676.93111869522,18438.7552746122,0.000584043491154,0.438230601443242,1.79544355925889E-151,115.866833262722,1,26
Namibia,0.148553952822429,17.1286582799191,18345.0842392474,7.01204606507682E-32,2.68156417832156E-73,0,30.5827480628865,1,16
Nepal,0.009996760897593,423206.856123146,18597.150157941,0.383798685408061,0.933569463335569,2.63941545524822E-64,226.608373997294,0,50
Netherlands,0.061087819973471,49863.3056486293,18357.5053672857,1.55827311542815E-74,4.254406285035E-75,0,3029590.18482466,1,20
Netherlands_Aruba,0.131223256917592,102.643928834782,18349.2505336811,5.86128862949235E-40,1.62628988575924E-72,0,464.876552244296,1,15
"Netherlands_Bonaire, Sint Eustatius and Saba",0.141239350350003,3.96972951640598,18356.4416132359,9.71024061334838E-07,4.90596380000769E-16,4.48232138863801E-286,7.35929262470919,1,14
Netherlands_Curacao,0.123310340412329,15.1817606915798,18344.9138942558,1.69457033562936E-34,2.89244446332234E-70,0,18.5756043793455,1,12
Netherlands_Sint Maarten,0.156334291546027,67.9004033843437,18355.9405308864,6.56387255390915E-32,4.12510169404177E-57,0,203.494025869604,1,19
New Zealand,0.145227084277977,1527.0456268279,18350.65346016,6.25573989628604E-78,1.2328205549037E-113,0,11495.5441118546,1,14
Nicaragua,0.075756102726524,12.5587407584003,18353.1820902767,9.42620234846403E-23,4.64885337594723E-31,2.60988892445511E-289,8.95142344322346,1,14
Niger,0.183582846787507,716.169712285312,18358.2194468815,5.13774199205968E-57,1.22043877976088E-84,0,4270.94604597174,1,14
Nigeria,0.033874547533149,2850.44460688293,18385.5020248875,5.78080270393943E-10,0.003898301029322,7.26594511949952E-208,19792.6405562173,1,17
North Macedonia,0.04162150604643,3623.67889480442,18373.2661722951,1.75772131340318E-39,8.35618011882428E-23,6.33425190272167E-267,12969.107221961,1,16
Norway,0.08223927488501,8018.9107198535,18344.6884255822,2.17049487144619E-66,5.67519351296058E-91,0,583341.708361881,1,17
Oman,0.012045740945524,2933472.66436758,18540.8184126929,6.15011197326072E-07,0.532765184218527,1.26373370435403E-140,16921.4397558209,0,50
Pakistan,0.037758268416821,29835.4606966158,18378.2556640644,2.14443415487645E-32,6.63584999486106E-15,3.09382594807782E-252,733775.480135455,1,14
Panama,0.058920241363251,8481.58946916796,18364.1699029116,5.27195417845289E-53,7.47165868329583E-45,2.56543165395163E-302,112454.323763476,1,14
Papua New Guinea,0.010570421201994,509092.378452699,18599.5112501866,0.620375557416383,0.967257943750659,5.71033759582497E-45,26.45617937075,0,50
