Id_data;Date;Observateur;Id_site;Etat_bio;Etat;Biotope;Site;Gps_latitude;Gps_longitude;Id_ecoute;Duree;Time;Protocol;Regne;Famille;Genre;Espece;Nom_sc;Nom_co;Taxonomic Order;Count
;19/04/2021;Anthony LEVESQUE;B0VB;B0;0;B;PC_Vieux-blanchet;16.358822;-61.4684483;B0VBE2;5;8:15 AM;eBird - Stationary Count;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1
;19/04/2021;Anthony LEVESQUE;B0VB;B0;0;B;PC_Vieux-blanchet;16.358822;-61.4684483;B0VBE3;5;8:22 AM;eBird - Stationary Count;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;2
;19/04/2021;Anthony LEVESQUE;B0VB;B0;0;B;PC_Vieux-blanchet;16.358822;-61.4684483;B0VBE1;5;8:10 AM;eBird - Stationary Count;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1
;19/04/2021;Anthony LEVESQUE;B0VB;B0;0;B;PC_Vieux-blanchet;16.358822;-61.4684483;B0VBE2;5;8:15 AM;eBird - Stationary Count;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1
;19/04/2021;Anthony LEVESQUE;B0VB;B0;0;B;PC_Vieux-blanchet;16.358822;-61.4684483;B0VBE3;5;8:22 AM;eBird - Stationary Count;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1
;19/04/2021;Anthony LEVESQUE;B0VB;B0;0;B;PC_Vieux-blanchet;16.358822;-61.4684483;B0VBE1;5;8:10 AM;eBird - Stationary Count;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;2
;19/04/2021;Anthony LEVESQUE;B0VB;B0;0;B;PC_Vieux-blanchet;16.358822;-61.4684483;B0VBE2;5;8:15 AM;eBird - Stationary Count;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;2
;19/04/2021;Anthony LEVESQUE;B0VB;B0;0;B;PC_Vieux-blanchet;16.358822;-61.4684483;B0VBE3;5;8:22 AM;eBird - Stationary Count;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE6;5;6:57 AM;eBird - Stationary Count;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Trochilidae;Orthorhyncus;cristatus;Orthorhyncus cristatus;Colibri huppé;4755;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Trochilidae;Orthorhyncus;cristatus;Orthorhyncus cristatus;Colibri huppé;4755;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;5
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;5
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE6;5;6:57 AM;eBird - Stationary Count;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;5
