Id_data;Id_Site;Etat;Biotope;Regne;Famille;Genre;Espece;Nom_sc;Poids_individu_g;Taille_corps_cm;Taille_queue_cm;Observation;Index;;;;;;;;;;;;Count
INSULAMI42;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;124;17,5;21;;MI_012;;;;;;;;;;;;
INSULAMI43;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;145;18;20,5;;MI_012;;;;;;;;;;;;
INSULAMI44;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;116;17,5;20,5;;MI_012;;;;;;;;;;;;
INSULAMI45;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;124;17;20,5;;MI_012;;;;;;;;;;;;
INSULAMI46;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;99;16;20,5;;MI_012;;;;;;;;;;;;
INSULAMI47;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;131;18,5;19,5;;MI_012;;;;;;;;;;;;
INSULAMI48;A1MO;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;90;15,5;17,5;;MI_013;;;;;;;;;;;;
INSULAMI49;A1MO;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;120;17;18;;MI_013;;;;;;;;;;;;
INSULAMI50;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;133;18;23;;MI_012;;;;;;;;;;;;
INSULAMI51;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;90;16;17,5;;MI_012;;;;;;;;;;;;
INSULAMI52;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;117;16;20;;MI_012;;;;;;;;;;;;
INSULAMI53;A1MO;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;84;15;18;;MI_013;;;;;;;;;;;;
INSULAMI54;A1MO;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;137;18;21,5;;MI_013;;;;;;;;;;;;
INSULAMI55;C0PO;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;157;18;21,5;;MI_014;;;;;;;;;;;;
INSULAMI56;C0PO;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;106;16;19;;MI_014;;;;;;;;;;;;
INSULAMI57;C0PO;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;142;17;6;Queue coupee / doute sur l'espece;MI_014;;;;;;;;;;;;
INSULAMI58;B0LA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;159;18;20;;MI_015;;;;;;;;;;;;
INSULAMI59;B0LA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;160;18;21;;MI_015;;;;;;;;;;;;
INSULAMI60;B0LA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;28;10;10;;MI_015;;;;;;;;;;;;
INSULAMI61;B0LA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;77;14;16,5;;MI_015;;;;;;;;;;;;
INSULAMI62;B0LA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;;;;Mort;MI_015;;;;;;;;;;;;
INSULAMI63;C0PO;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;150;17;19;;MI_014;;;;;;;;;;;;
INSULAMI64;B0LA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;25;9;12;;MI_015;;;;;;;;;;;;
INSULAMI65;B0TA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;123;17;20;Parasite sur le foie;MI_016;;;;;;;;;;;;
INSULAMI66;B0TA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;178;19;22;;MI_016;;;;;;;;;;;;
INSULAMI67;B0TA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;208;20;21;;MI_016;;;;;;;;;;;;
INSULAMI68;B1BP;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;45;11;15;;MI_017;;;;;;;;;;;;
INSULAMI69;B1BP;degrade;FM;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;169;20;15;;MI_017;;;;;;;;;;;;
INSULAMI70;B1BP;degrade;FM;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;124;18;14;;MI_017;;;;;;;;;;;;
INSULAMI71;B1GO;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;;;;Mort (Fourmis);MI_018;;;;;;;;;;;;
INSULAMI72;B0GO;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;188;18;20;Parasite sur le foie;MI_019;;;;;;;;;;;;
INSULAMI73;B0GO;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;223;20;23;Parasite sur le foie;MI_019;;;;;;;;;;;;
INSULAMI74;B0GO;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;155;18;20;Parasite sur le foie;MI_019;;;;;;;;;;;;
INSULAMI75;C0BA;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;173;17;20,5;Parasite sur le foie;MI_020;;;;;;;;;;;;
INSULAMI76;C0BA;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;142;19;21;;MI_020;;;;;;;;;;;;
INSULAMI77;C0BA;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;165;16;20,5;;MI_020;;;;;;;;;;;;
INSULAMI78;C0BA;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;146;18;22;;MI_020;;;;;;;;;;;;
INSULAMI79;B0BA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;111;16;20;;MI_021;;;;;;;;;;;;
INSULAMI80;B0BA;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;134;18;19;;MI_021;;;;;;;;;;;;
INSULAMI81;B1MA;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;147;18;20;;MI_022;;;;;;;;;;;;
INSULAMI82;B1MA;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;113;18,5;18,5;;MI_022;;;;;;;;;;;;
INSULAMI83;B1MA;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;176;18;22;R76 Poumon;MI_022;;;;;;;;;;;;
INSULAMI84;B1MA;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;142;17;21,5;;MI_022;;;;;;;;;;;;
INSULAMI85;B0VB;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;169;18;22;;MI_023;;;;;;;;;;;;
INSULAMI86;C0BT;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;130;18;19;;MI_024;;;;;;;;;;;;
INSULAMI87;C0BT;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;166;18;21,5;;MI_024;;;;;;;;;;;;
INSULAMI88;C1SF;degrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;145;18;20;;MI_025;;;;;;;;;;;;
