treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08
tuteure	8	1	0	1	1	2	2	2	2	4
tuteure	8	2	1	1	2	2	2	3	3	4
tuteure	8	3	0	1	2	2	3	3	3	6
tuteure	8	4	0	2	3	2	4	5	5	5
tuteure	8	5	1	1	2	4	3	3	4	7
tuteure	8	6	1	1	2	3	3	3	4	4
tuteure	8	7	0	1	1	3	2	2	3	4
tuteure	8	8	0	1	1	2	2	3	3	3
tuteure	8	9	1	1	1	2	2	2	3	3
tuteure	9	1	1	2	2	2	3	3	3	3
tuteure	9	2	1	2	2	2	3	3	4	5
tuteure	9	3	1	1	1	3	3	3	3	4
tuteure	9	4	1	2	2	2	3	3	3	4
tuteure	9	5	1	2	2	3	2	3	3	4
tuteure	9	6	1	2	3	3	4	4	4	5
tuteure	9	7	1	2	2	3	3	3	3	5
tuteure	9	8	0	1	1	3	3	3	3	5
tuteure	9	9	0	1	1	2	3	3	3	3
tuteure	10	1	1	2	2	2	2	2	3	4
tuteure	10	2	1	2	2	3	3	4	4	5
tuteure	10	3	1	2	2	3	3	3	3	3
tuteure	10	4	1	2	2	2	3	3	3	3
tuteure	10	5	1	2	2	2	3	3	3	4
tuteure	10	6	1	2	2	2	1	2	3	5
tuteure	10	7	1	1	1	1	1	1	NA	NA
tuteure	10	8	1	2	2	3	3	3	3	4
tuteure	10	9	1	1	1	1	2	2	2	3
tuteure	11	1	1	2	2	2	2	3	3	5
tuteure	11	2	1	2	2	2	3	3	3	3
tuteure	11	3	2	2	2	2	3	3	3	4
tuteure	11	4	1	2	2	2	3	3	3	4
tuteure	11	5	1	2	2	2	2	3	NA	NA
tuteure	11	6	1	2	2	2	3	3	3	4
tuteure	11	7	1	2	2	3	3	4	3	5
tuteure	11	8	1	2	2	2	2	2	3	3
tuteure	11	9	1	2	2	2	2	2	2	3
tuteure	12	1	2	2	2	2	3	3	3	4
tuteure	12	2	1	2	2	2	3	3	3	3
tuteure	12	3	3	2	3	3	3	4	5	NA
tuteure	12	4	3	2	3	3	3	4	4	5
tuteure	12	5	2	2	2	3	3	4	4	4
tuteure	12	6	1	2	2	2	3	4	4	4
tuteure	12	7	2	2	2	3	3	4	4	4
tuteure	12	8	1	2	2	2	2	3	3	3
tuteure	12	9	1	1	2	2	2	2	4	6
