treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08
plat	1	1	0	0	1	1	1	1	1	1
plat	1	2	0	0	1	1	1	1	1	1
plat	1	3	0	1	1	1	1	1	1	2
plat	1	4	0	0	1	1	1	1	1	2
plat	1	5	0	1	1	1	1	2	2	3
plat	1	6	0	0	1	1	2	2	2	NA
plat	1	7	0	0	1	1	1	2	2	2
plat	1	8	0	0	1	1	1	1	1	3
plat	1	9	0	0	1	1	1	1	2	3
plat	1	10	0	0	1	1	1	1	1	2
plat	2	1	0	0	1	2	2	2	2	2
plat	2	2	0	0	1	1	1	1	1	1
plat	2	3	1	0	1	1	1	2	2	2
plat	2	4	0	0	1	1	1	1	1	1
plat	2	5	0	0	1	2	2	2	2	2
plat	2	6	0	2	2	2	2	2	1	3
plat	2	7	0	0	1	1	2	2	2	3
plat	2	8	0	0	1	1	1	2	2	3
plat	2	9	0	0	1	1	1	2	2	3
plat	2	10	0	0	1	1	1	1	2	3
plat	3	1	0	0	1	2	2	2	2	2
plat	3	2	0	1	1	1	2	2	2	3
plat	3	3	0	1	1	1	2	2	2	3
plat	3	4	0	0	1	1	2	2	2	3
plat	3	5	0	1	1	1	1	2	2	3
plat	3	6	0	0	1	1	2	2	2	3
plat	3	7	0	0	1	1	2	2	2	3
plat	3	8	0	1	1	1	1	1	2	2
plat	3	9	0	1	1	1	1	1	1	2
plat	3	10	0	0	1	1	1	1	1	3
plat	4	1	0	0	1	2	2	3	3	4
plat	4	2	0	1	1	1	2	2	2	3
plat	4	3	0	1	1	1	1	1	1	3
plat	4	4	0	1	1	2	2	2	2	2
plat	4	5	0	1	1	2	2	2	2	2
plat	4	6	0	1	1	1	2	2	2	3
plat	4	7	0	1	1	1	2	2	2	3
plat	4	8	0	0	1	1	2	2	3	3
plat	4	9	0	NA	NA	NA	NA	NA	NA	NA
plat	4	10	0	0	1	1	2	2	NA	NA
plat	5	1	0	1	1	1	1	2	1	2
plat	5	2	0	1	1	1	1	1	1	1
plat	5	3	0	0	0	0	1	1	NA	NA
plat	5	4	0	0	1	1	2	3	3	3
plat	5	5	0	1	1	1	2	3	3	3
plat	5	6	0	1	1	1	2	2	2	3
plat	5	7	0	0	1	1	2	3	3	3
plat	5	8	0	1	1	1	2	3	2	3
plat	5	9	0	1	1	2	2	3	3	4
plat	5	10	0	1	1	1	2	3	3	4
plat	6	1	NA	NA	NA	NA	NA	NA	NA	NA
plat	6	2	0	1	1	1	1	2	2	2
plat	6	3	0	0	0	1	1	2	2	2
plat	6	4	0	1	1	1	1	2	2	2
plat	6	5	0	1	1	2	2	2	1	2
plat	6	6	0	1	1	1	2	2	2	2
plat	6	7	0	1	1	1	2	3	3	3
plat	6	8	0	1	1	1	2	3	3	3
plat	6	9	0	0	0	1	1	2	2	4
plat	6	10	0	0	1	1	2	3	3	4
plat	7	1	0	1	1	2	2	3	3	3
plat	7	2	0	0	1	1	1	1	1	2
plat	7	3	0	1	1	1	1	1	1	2
plat	7	4	0	1	1	1	2	2	2	3
plat	7	5	1	1	1	1	1	2	3	3
plat	7	6	0	1	1	1	2	2	2	2
plat	7	7	0	1	1	1	2	2	2	3
plat	7	8	1	1	1	2	3	3	3	3
plat	7	9	0	1	1	2	2	3	3	3
plat	7	10	0	1	1	2	2	3	3	2
plat	8	1	0	1	1	1	2	3	2	3
plat	8	2	0	1	1	1	2	3	3	4
plat	8	3	1	1	1	2	2	3	3	3
plat	8	4	0	1	1	1	1	2	2	3
plat	8	5	1	1	1	2	2	2	2	3
plat	8	6	0	1	1	2	2	3	3	3
plat	8	7	0	1	1	2	1	2	3	3
plat	8	8	0	0	1	1	1	1	2	2
plat	8	9	0	1	1	1	2	2	2	3
plat	8	10	0	1	1	1	2	NA	NA	NA
plat	9	1	0	1	2	2	1	2	2	4
plat	9	2	0	1	1	2	2	2	2	3
plat	9	3	0	1	1	1	2	2	2	3
plat	9	4	0	1	1	2	3	3	3	3
plat	9	5	0	1	1	2	2	2	1	2
plat	9	6	0	0	1	1	2	2	1	2
plat	9	7	0	NA	NA	NA	NA	NA	NA	NA
plat	9	8	0	1	1	2	2	NA	NA	NA
plat	9	9	0	0	1	2	1	NA	NA	NA
plat	9	10	0	0	1	1	2	3	3	3
plat	10	1	0	1	1	1	2	2	2	2
plat	10	2	0	1	1	1	1	1	1	2
plat	10	3	0	0	0	1	1	1	NA	NA
plat	10	4	0	1	1	1	1	1	2	2
plat	10	5	0	1	1	1	2	2	3	3
plat	10	6	1	1	1	1	2	2	3	3
plat	10	7	0	1	1	2	2	3	3	3
plat	10	8	0	0	1	1	2	3	3	4
plat	10	9	0	1	2	2	2	3	4	3
plat	10	10	0	1	2	2	2	3	4	5
plat	11	1	0	1	1	1	2	2	2	2
plat	11	2	1	1	1	1	1	1	1	2
plat	11	3	NA	NA	NA	NA	NA	NA	NA	NA
plat	11	4	0	1	1	1	1	2	3	3
plat	11	5	0	0	1	1	1	1	1	2
plat	11	6	1	1	1	1	2	2	2	3
plat	11	7	0	1	2	2	2	3	3	3
plat	11	8	0	1	1	1	2	3	3	3
plat	11	9	0	0	1	1	2	2	2	3
plat	11	10	0	1	1	2	2	2	3	3
plat	12	1	0	1	1	2	2	3	3	3
plat	12	2	1	2	2	2	3	3	4	3
plat	12	3	0	1	1	2	2	2	3	3
plat	12	4	1	1	1	1	1	1	3	3
plat	12	5	0	1	1	1	1	1	NA	NA
plat	12	6	0	1	1	2	2	2	3	4
plat	12	7	0	1	1	2	2	3	3	3
plat	12	8	0	1	1	1	1	1	2	3
plat	12	9	0	1	1	1	2	3	3	3
plat	12	10	0	1	1	1	2	2	3	3
tuteure	1	1	0	0	1	2	2	2	2	4
tuteure	1	2	0	1	1	1	2	2	2	3
tuteure	1	3	0	1	1	1	1	2	2	3
tuteure	1	4	0	1	1	1	1	1	2	3
tuteure	1	5	0	1	1	2	2	3	3	4
tuteure	1	6	0	1	1	1	2	2	1	3
tuteure	1	7	0	1	1	2	2	3	NA	NA
tuteure	1	8	0	0	1	2	2	2	2	4
tuteure	1	9	0	0	1	2	2	3	3	3
tuteure	2	1	0	0	1	1	1	2	NA	NA
tuteure	2	2	0	1	1	2	2	2	2	4
tuteure	2	3	0	1	1	1	2	2	2	3
tuteure	2	4	0	1	1	1	2	3	3	3
tuteure	2	5	0	1	1	1	2	3	2	4
tuteure	2	6	0	1	1	2	2	2	3	4
tuteure	2	7	0	1	1	1	2	3	3	4
tuteure	2	8	0	1	2	2	3	4	4	6
tuteure	2	9	0	1	1	1	2	2	3	3
tuteure	3	1	0	1	1	1	2	3	3	3
tuteure	3	2	0	1	1	1	2	3	2	3
tuteure	3	3	1	1	1	1	2	2	3	3
tuteure	3	4	0	1	1	1	2	2	2	3
tuteure	3	5	0	1	1	2	2	3	2	4
tuteure	3	6	0	1	1	1	2	3	2	4
tuteure	3	7	0	1	1	2	2	3	2	3
tuteure	3	8	0	1	1	2	2	3	3	4
tuteure	3	9	0	1	1	1	2	2	2	3
tuteure	4	1	0	1	1	1	1	2	2	3
tuteure	4	2	0	1	1	2	2	3	3	3
tuteure	4	3	0	1	1	1	2	2	2	3
tuteure	4	4	0	1	1	2	2	3	3	4
tuteure	4	5	0	1	1	2	2	3	2	3
tuteure	4	6	0	1	1	2	2	3	3	4
tuteure	4	7	0	1	1	2	2	2	2	3
tuteure	4	8	0	1	1	2	2	2	2	3
tuteure	4	9	0	1	1	1	2	2	3	3
tuteure	5	1	0	1	1	1	2	2	3	3
tuteure	5	2	0	1	1	1	2	2	2	3
tuteure	5	3	0	1	1	2	2	2	1	3
tuteure	5	4	0	1	1	2	2	3	3	4
tuteure	5	5	0	1	1	2	3	3	3	3
tuteure	5	6	0	1	1	2	2	2	3	4
tuteure	5	7	0	1	1	2	2	2	3	3
tuteure	5	8	0	1	1	2	2	2	3	3
tuteure	5	9	0	0	1	1	1	1	NA	NA
tuteure	6	1	0	1	1	2	2	3	3	3
tuteure	6	2	1	1	2	2	3	3	3	3
tuteure	6	3	0	1	2	3	3	3	3	3
tuteure	6	4	0	1	1	2	3	3	3	3
tuteure	6	5	0	1	2	2	3	3	3	4
tuteure	6	6	0	1	2	2	3	3	3	3
tuteure	6	7	0	2	2	3	3	3	4	3
tuteure	6	8	0	1	2	2	3	3	3	3
tuteure	6	9	0	1	2	3	3	3	3	4
tuteure	7	1	0	1	1	2	2	3	3	4
tuteure	7	2	1	1	2	3	3	4	NA	NA
tuteure	7	3	1	1	2	3	3	3	4	4
tuteure	7	4	1	1	2	3	3	4	NA	NA
tuteure	7	5	1	2	2	3	3	3	3	4
tuteure	7	6	1	2	2	3	3	3	3	3
tuteure	7	7	1	1	2	3	3	3	3	4
tuteure	7	8	1	2	2	3	4	5	4	4
tuteure	7	9	1	1	2	2	3	3	3	3
