treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08
tuteur	3	2	1	1	3	5	6	7	9	9
tuteur	3	1	0	1	1	4	4	5	5	7
tuteur	4	8	1	2	5	6	7	7	8	9
tuteur	4	7	1	3	4	6	6	7	8	9
tuteur	4	6	1	2	3	4	6	6	8	9
tuteur	4	5	1	2	2	4	4	6	7	9
tuteur	4	4	2	3	4	6	7	7	9	9
tuteur	4	3	2	2	3	5	5	6	7	9
tuteur	4	2	1	1	2	3	4	5	6	8
tuteur	4	1	1	2	3	5	6	6	7	8
tuteur	5	8	2	4	5	6	7	8	8	9
tuteur	5	7	2	4	4	5	6	7	7	9
tuteur	5	6	2	4	5	5	7	8	9	9
tuteur	5	5	1	2	3	5	7	7	8	9
tuteur	5	4	1	2	3	4	5	6	7	9
tuteur	5	3	1	2	2	4	5	6	7	9
tuteur	5	2	1	1	2	4	4	6	7	9
tuteur	5	1	1	2	2	4	4	5	6	8
tuteur	6	8	2	3	3	6	6	7	7	9
tuteur	6	7	2	2	4	6	6	7	8	9
tuteur	6	6	2	3	5	7	8	8	9	9
tuteur	6	5	2	1	2	4	5	6	7	8
tuteur	6	4	1	1	2	4	4	6	7	9
tuteur	6	3	1	1	2	5	5	6	6	9
tuteur	6	2	1	2	3	4	3	5	6	7
tuteur	6	1	1	2	3	5	5	5	6	7
tuteur	7	8	2	2	4	6	7	7	8	9
tuteur	7	7	1	2	3	5	5	6	8	9
tuteur	7	6	1	2	3	4	5	6	7	9
tuteur	7	5	1	3	3	4	6	7	8	9
tuteur	7	4	1	2	3	4	6	6	7	9
tuteur	7	3	1	3	4	5	5	6	7	8
tuteur	7	2	1	2	3	4	4	5	6	8
tuteur	7	1	1	2	4	6	4	3	6	9
tuteur	8	8	1	1	3	6	6	7	8	9
tuteur	8	7	1	2	3	5	4	5	7	9
tuteur	8	6	1	2	2	4	4	5	6	8
tuteur	8	5	1	2	3	5	5	7	7	9
tuteur	8	4	1	1	2	3	3	4	5	6
tuteur	8	3	1	2	2	3	3	4	6	7
tuteur	8	2	1	1	2	3	4	5	6	8
tuteur	8	1	1	2	2	3	3	4	4	7
tuteur	9	8	1	1	3	4	5	6	7	9
tuteur	9	7	1	2	3	4	5	6	7	9
tuteur	9	6	1	2	3	4	4	5	6	8
tuteur	9	5	1	1	2	3	4	4	6	7
tuteur	9	4	1	2	3	3	3	4	6	8
tuteur	9	3	1	2	3	4	4	4	6	7
tuteur	9	2	1	2	2	3	3	4	5	7
tuteur	9	1	1	1	2	2	3	3	4	6
tuteur	10	8	1	2	3	4	5	5	7	8
tuteur	10	7	1	2	3	4	5	4	6	8
tuteur	10	6	1	2	3	4	5	5	6	7
tuteur	10	5	1	2	3	4	4	5	6	8
tuteur	10	4	1	1	2	4	4	5	6	9
tuteur	10	3	2	3	3	5	6	6	7	8
tuteur	10	2	1	2	3	4	4	5	6	8
tuteur	10	1	1	1	2	3	3	4	4	7
tuteur	11	8	1	2	2	4	5	5	7	8
tuteur	11	7	1	3	3	5	5	6	7	8
tuteur	11	6	1	2	3	5	4	5	6	8
tuteur	11	5	1	2	3	4	4	5	6	7
tuteur	11	4	1	2	3	4	4	5	8	9
tuteur	11	3	1	2	2	3	4	5	6	7
tuteur	11	2	1	1	2	3	4	4	6	7
tuteur	11	1	1	2	3	4	3	4	5	7
tuteur	12	8	1	2	3	5	6	6	7	9
tuteur	12	7	1	3	3	4	5	5	6	8
tuteur	12	6	1	3	3	3	5	5	6	8
tuteur	12	5	1	2	2	4	5	6	8	8
tuteur	12	4	1	2	2	3	4	4	5	8
tuteur	12	3	1	2	3	3	4	5	6	6
tuteur	12	2	0	1	1	1	2	3	4	7
tuteur	12	1	1	1	2	2	3	3	4	9
