ident,enqueteur,c1,c2,c3,c4,c5,c6,sexe,age,ann_insta,commun_exp,form_gen,form_agri,pc_fvd,pc_ferm,adh_group,adh_sica,adh_cuma,sau,s_ignames,s_autr_tuber,s_banane,s_canne,s_prairie,s_meca,conduite_ig,acti_agri,uth,uth_ig,success,revenu_agri,ig_annees,ig_prod_prin,ig_part_revenu,ig_lev_rev,ig_lev_diversif,ig_chaque_ann,ig_nb_var_cult,ig_semenceau,ig_assoc_var,ig_fr_maladie,ig_fr_temps_trav,ig_fr_dispo_plant,ig_fr_cout_prod,ig_fr_vol,ig_fr_eau,ig_fr_cons_plant,pb_dispo_sem,ig_av_s2,ig_av_nb_var,attri_cout,attri_nb_var,attri_dispo,attri_engage,Q4-03,Q4-06,Q4-09,Q4-13,Q4-15,Q4-18,Q4-22,Q4-24,fut_acha_sem_qual,futur_prod_ig971,futur_conso_ig971
BM67,BM,2,2,2,2,0,0,H,65,1987,PETIT BOURG,Primaire,BEPA,40.00%,0.00%,0,0,1,2.50,1.00,0.00,0.40,0.30,0.40,2.00,LES DEUX,50%,0.60,0.30,1,50-75,40,1,25-50,1,0,1,3,PRODUCTION PERSONNELLE,0,0,1,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,2,4,1,3,1,1,1,1,1,1,1,1,50%,AUGMENTATION,AUGMENTATION
BM68,BM,1,1,0,1,0,1,H,70,1993,CAPESTERRE BELLE EAU,Primaire,Sur le tas,0.00%,0.00%,1,0,0,4.40,2.00,0.00,1.20,0.00,0.00,4.40,TUTEUREE,80%,2.00,1.00,0,0-25,16,0,0-25,0,1,1,3,PRODUCTION PERSONNELLE,0,1,0,0,0,0,0,0,0,REDUCTION,MAINTIEN,2,4,1,3,1,1,1,1,1,1,0,1,25%,AUGMENTATION,AUGMENTATION
BM69,BM,0,0,0,1,0,1,H,58,2000,SAINTE ROSE,Primaire,Sur le tas,0.00%,100.00%,0,1,1,8.00,0.50,0.00,0.00,3.00,0.00,3.50,TUTEUREE,100%,1.20,0.60,1,25-50,18,0,0-25,0,0,1,4,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,2,4,3,1,1,1,1,1,0,0,0,0,25%,AUGMENTATION,AUGMENTATION
BM70,BM,2,2,1,1,1,1,H,57,1982,LAMENTIN,Primaire,Sur le tas,100%,0.00%,0,0,1,2.36,0.61,0.00,0.00,1.75,0.00,2.36,TUTEUREE,100%,1.00,0.60,0,0-25,44,0,0-25,0,0,1,3,AUTRES AGRICULTEURS,1,1,0,0,0,0,0,0,1,AUGMENTATION,MAINTIEN,3,4,1,2,1,1,1,1,1,1,1,1,25%,AUGMENTATION,AUGMENTATION
BM71,BM,0,1,0,0,0,0,H,63,1987,PETIT BOURG,Primaire,Sur le tas,40.00%,60.00%,0,1,1,6.60,0.50,0.00,0.10,4.00,0.00,6.00,LES DEUX,100%,1.00,0.40,0,75-100,31,0,50-75,1,0,1,3,PRODUCTION PERSONNELLE,1,1,0,0,0,1,0,0,0,AUGMENTATION,MAINTIEN,1,2,3,4,1,1,1,1,1,0,1,0,25%,DISPARITION,BAISSE
BM72,BM,0,0,0,0,0,0,H,51,2011,LAMENTIN,Secondaire court,Sur le tas,100%,0.00%,0,1,0,1.68,0.53,0.00,0.00,1.00,0.00,1.00,TUTEUREE,10%,0.50,0.40,1,0-25,7,0,0-25,0,0,1,3,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,4,1,2,3,1,1,1,1,1,0,0,0,25%,PAS DE CHANGEMENT,PAS DE CHANGEMENT
BM73,BM,0,1,0,2,0,1,H,38,2005,SAINTE ROSE ,Secondaire court,BEPA,0.00%,100.00%,0,1,0,8.30,1.00,0.00,0.30,5.00,0.00,8.30,LES DEUX,100%,1.20,0.70,0,0-25,4,0,0-25,0,0,1,2,AUTRES AGRICULTEURS,1,1,0,0,0,1,0,0,1,AUGMENTATION,AUGMENTATION,2,4,3,1,1,1,1,1,1,1,1,0,100%,AUGMENTATION,PAS DE CHANGEMENT
BM74,BM,1,1,2,2,2,1,H,41,2007,LAMENTIN,Secondaire court,BEPA,0.00%,100.00%,0,1,1,6.70,0.20,0.00,0.00,2.70,0.00,0.00,TUTEUREE,100%,1.00,0.20,0,0-25,11,0,0-25,0,1,0,2,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,1,0,NSP,NSP,1,4,3,2,1,1,1,1,1,1,1,1,25%,BAISSE,PAS DE CHANGEMENT
BM75,BM,0,0,0,2,0,1,H,60,1983,SAINTE ROSE,Primaire,Sur le tas,100%,0.00%,0,0,0,2.50,1.00,0.10,0.00,0.00,0.00,1.20,LES DEUX,100%,1.40,0.90,1,25-50,35,1,25-50,0,0,1,3,AUTRES AGRICULTEURS,1,1,0,0,0,0,0,0,0,AUGMENTATION,MAINTIEN,2,4,3,1,1,1,1,1,1,0,0,0,25%,BAISSE,AUGMENTATION
BM76,BM,1,1,0,2,0,0,H,70,1984,SAINTE ROSE,Primaire,Sur le tas,100%,0.00%,0,1,0,4.40,0.40,0.00,0.00,4.00,0.00,3.00,TUTEUREE,20%,0.50,0.40,0,25-50,20,0,0-25,0,0,1,3,COMMERCE,1,0,0,0,0,1,0,0,0,MAINTIEN,AUGMENTATION,1,3,4,2,1,1,1,1,1,0,1,1,50%,BAISSE,AUGMENTATION
BM77,BM,0,1,0,2,0,0,H,43,2006,PETIT BOURG,Secondaire court,BEPA,0.00%,100.00%,1,1,0,10.00,0.30,0.00,1.00,7.10,0.00,10.00,LES DEUX,100%,1.00,0.30,1,75-100,12,0,0-25,0,0,1,3,AUTRES AGRICULTEURS,1,0,0,1,0,0,0,0,1,AUGMENTATION,MAINTIEN,1,3,2,4,1,1,1,1,1,1,NSP,1,100%,AUGMENTATION,AUGMENTATION
BM78,BM,2,2,0,1,1,2,F,63,1988,PETIT BOURG,Secondaire court,Sur le tas,100%,0.00%,1,0,0,3.00,0.30,1.35,0.00,0.00,0.00,3.00,TUTEUREE,30%,0.50,0.30,0,0-25,30,1,0-25,0,0,1,3,AUTRES AGRICULTEURS,1,0,0,0,0,0,0,1,1,MAINTIEN,MAINTIEN,2,3,1,4,1,1,1,1,0,0,0,1,25%,PAS DE CHANGEMENT,PAS DE CHANGEMENT
BM79,BM,0,0,0,0,0,0,H,57,1991,BAILLIF,Secondaire long,Sur le tas,60.00%,0.00%,1,0,0,4.71,0.65,1.00,0.00,0.00,0.00,1.00,TUTEUREE,100%,1.00,0.50,0,0-25,8,0,25-50,1,0,1,4,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,0,AUGMENTATION,MAINTIEN,1,4,3,2,1,1,1,1,1,1,1,NSP,25%,AUGMENTATION,AUGMENTATION
BM80,BM,0,0,0,0,0,0,F,73,1978,BAIE MAHAULT,Secondaire long,BEPA,100%,0.00%,0,0,0,5.80,0.20,0.00,0.00,1.00,0.00,5.00,A PLAT,100%,1.00,0.20,0,0-25,40,0,0-25,0,0,1,4,PRODUCTION PERSONNELLE,1,0,0,0,0,0,0,0,0,MAINTIEN,MAINTIEN,,,,,0,1,1,1,0,0,1,0,0%,BAISSE,AUGMENTATION
